Ts_real_s,time_s,PWM_input,omega_rad_s,current_A,RPM
0.01,2.030001,70,23.538957,0.07216,224.7804
0.01,2.040001,70,23.7841558,0.07078,227.122
0.01,2.050001,70,23.538957,0.0891,224.7806
0.01,2.060001,70,23.7841538,0.0709,227.1218
0.01,2.070001,70,24.2745504,0.08806,231.8048
0.01,2.080001,70,23.0485624,0.07832,220.0976
0.01,2.090001,70,23.5389574,0.0732,224.7806
0.01,2.100001,70,24.5197476,0.07178,234.1464
0.01,2.110001,70,23.7841544,0.06574,227.122
0.01,2.120001,70,23.416359,0.06722,223.6098
0.01,2.130001,70,23.9067544,0.05692,228.2928
0.01,2.140001,70,23.5389564,0.08914,224.7804
0.01,2.150001,70,23.4163592,0.07822,223.6098
0.01,2.160001,70,23.9067542,0.08396,228.2928
0.01,2.170001,70,23.7841544,0.07958,227.122
0.01,2.180001,70,24.151951,0.06682,230.634
0.01,2.190001,70,23.4163588,0.07268,223.6098
0.01,2.200001,70,23.5389576,0.06382,224.7806
0.01,2.210001,70,23.906754,0.06132,228.2926
0.01,2.220001,70,23.7841538,0.0616,227.1218
0.01,2.230001,70,24.0293522,0.06194,229.4636
0.01,2.240001,70,23.2937606,0.07474,222.439
0.01,2.250001,70,23.6615558,0.06594,225.9512
0.01,2.260001,70,24.1519504,0.0895,230.6342
0.01,2.270001,70,23.7841556,0.07014,227.122
0.01,2.280001,70,23.1711614,0.07158,221.2684
0.01,2.290001,70,24.397149,0.07478,232.9758
0.01,2.300001,70,24.0293518,0.0743,229.4634
0.01,2.310001,70,23.4163584,0.06374,223.6098
0.01,2.320001,70,23.5389584,0.0602,224.7806
0.01,2.330001,70,23.7841552,0.07958,227.122
0.01,2.340001,70,24.029351,0.07394,229.4632
0.01,2.350001,70,24.5197478,0.06642,234.1464
0.01,2.360001,70,23.1711614,0.09138,221.2684
0.01,2.370001,70,23.4163588,0.08636,223.6098
0.01,2.380001,70,23.9067534,0.08122,228.2926
0.01,2.390001,70,24.1519508,0.06364,230.6342
0.01,2.400001,70,23.0485624,0.07648,220.0976
0.01,2.410001,70,23.7841552,0.07142,227.122
0.01,2.420001,70,24.1519504,0.08038,230.6342
0.01,2.430001,70,23.784155,0.06902,227.122
0.01,2.440001,70,23.1711618,0.08152,221.2684
0.01,2.450001,70,23.906754,0.08006,228.2928
0.01,2.460001,70,24.2745496,0.07262,231.805
0.01,2.470001,70,23.6615564,0.07152,225.9512
0.01,2.480001,70,23.7841548,0.07676,227.122
